,id,pleiades,issued_by,mint_location,source,group,series,sub_series,metal,denomination,date_range,range_min,range_max,study_numbers,obv_die_numbers,number_of_obverse_dies,_649_625,_624_600,_599_575,_574_550,_549_525,_524_500,_499_475,_474_450,_449_425,_424_400,_399_375,_374_350,_349_325,_324_300,_299_275,_274_250,_249_225,_224_200,_199_175,_174_150,_149_125,_124_100,_99_75,_74_50,_49_25,_24_1,lat,long
38,39.0,462503,syracuse,syracuse,boehringer 1978,4.00,17.00,,silver,tetradrachm,474-450,-474.0,-450.0,585-590,290-291,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
39,40.0,462503,syracuse,syracuse,boehringer 1978,4.00,17.00,,silver,didrachm,474-450,-474.0,-450.0,591.00,292.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
40,41.0,462503,syracuse,syracuse,boehringer 1978,4.00,17.00,,silver,tetradrachm,474-450,-474.0,-450.0,592-596,293-294,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
41,42.0,462503,syracuse,syracuse,boehringer 1978,4.00,18.00,,silver,tetradrachm,474-450,-474.0,-450.0,597-605,295-296,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
42,43.0,462503,syracuse,syracuse,boehringer 1978,4.00,18.00,,silver,didrachm,474-450,-474.0,-450.0,606.00,297.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
43,44.0,462503,syracuse,syracuse,boehringer 1978,4.00,18.00,,silver,hemilitron,474-450,-474.0,-450.0,607-612,298-303,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
44,45.0,462503,syracuse,syracuse,boehringer 1978,4.00,18.00,,bronze,trias,474-450,-474.0,-450.0,613-623,304-314,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
45,46.0,462503,syracuse,syracuse,boehringer 1978,4.00,18.00,,bronze,unzia ?,474-450,-474.0,-450.0,624-627,315-318,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
46,47.0,462503,syracuse,syracuse,boehringer 1978,5.00,19.00,,silver,tetradrachm,450-439,-450.0,-439.0,628-635,319-321,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
47,48.0,462503,syracuse,syracuse,boehringer 1978,5.00,19.00,,silver,hemilitron,450-440,-450.0,-440.0,636-639,322-325,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
